Pattern,Metric,Group
CDC,0.0221971543975837,Successful
CBC,0.0219060441759761,Successful
BCD,0.0142280120810741,Successful
DCB,0.0121902405298206,Successful
CFC,0.0121538517521196,Successful
BCB,0.0109166333102871,Successful
DCD,0.00997052509006222,Successful
BCF,0.00789636476110767,Successful
FCB,0.00735053309559331,Successful
CBD,0.00709581165168662,Successful
CBC,0.0114531890301565,Unsuccessful
CDC,0.0102448250499106,Unsuccessful
BCD,0.00793317221813596,Unsuccessful
CFC,0.00767048439634338,Unsuccessful
DCD,0.0070925711883997,Unsuccessful
BCB,0.00704003362404119,Unsuccessful
DBD,0.00672480823789009,Unsuccessful
DCB,0.00630450772302196,Unsuccessful
BCF,0.00614689502994641,Unsuccessful
DCE,0.00593674477251234,Unsuccessful
