Pattern,Metric,Group
AAA,0.0440275564930547,Successful
BBB,0.0423221057828243,Successful
DDD,0.0363754684379417,Successful
AAAA,0.0217786658883225,Successful
BBBB,0.02063360201172,Successful
DDA,0.0193658416174853,Successful
BBA,0.0193658416174853,Successful
DDDD,0.0191517546419991,Successful
ADD,0.0184233556986737,Successful
ABB,0.0176155106254067,Successful
AAA,0.0671971192937623,Unsuccessful
HHH,0.0474213032872575,Unsuccessful
AAAA,0.0367217686877197,Unsuccessful
BBB,0.0358636310837495,Unsuccessful
DDD,0.0355151585550005,Unsuccessful
HHHH,0.0353272711426164,Unsuccessful
HHHHH,0.0267685868743823,Unsuccessful
AAAAA,0.0216241353252339,Unsuccessful
CCC,0.021256824253688,Unsuccessful
HHHHHH,0.0206740135500567,Unsuccessful
